latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.5737,-3.7713,315.9,1.1,1,2017-01-03,0221,Aqua,MODIS,92,6.03,273.1,21.6,N,2
53.5677,-0.5949,300.4,1.1,1.1,2017-01-04,2203,Terra,MODIS,27,6.03,273.7,11.1,N,2
53.5687,-0.5946,301.5,1.2,1.1,2017-01-05,1133,Terra,MODIS,45,6.03,275,11.5,D,2
51.5732,-3.7776,305.8,1,1,2017-01-10,0227,Aqua,MODIS,66,6.03,276,11,N,2
51.5712,-3.7632,301.2,1,1,2017-01-10,0227,Aqua,MODIS,39,6.03,276.8,8.4,N,2
50.8673,0.1102,311.8,1,1,2017-01-18,1249,Aqua,MODIS,68,6.03,274.6,15.9,D,0
53.5666,-0.5973,309.9,1,1,2017-01-23,1121,Terra,MODIS,65,6.03,274.9,14.7,D,2
57.2612,-3.9716,322.6,1.1,1,2017-01-23,1309,Aqua,MODIS,82,6.03,275.2,27.7,D,0
51.5624,-3.7666,300.2,1.2,1.1,2017-01-28,1326,Aqua,MODIS,0,6.03,282,9.1,D,2
53.5647,-0.602,301.9,1,1,2017-02-03,1250,Aqua,MODIS,47,6.03,273.2,8,D,2
57.1248,-7.3073,301.1,1.4,1.2,2017-02-12,1245,Aqua,MODIS,39,6.03,277.6,13.1,D,0
57.3821,-6.4332,323,1.2,1.1,2017-02-13,1328,Aqua,MODIS,82,6.03,281.7,30.8,D,0
57.245,-6.3995,300.1,1,1,2017-02-14,0257,Aqua,MODIS,16,6.03,276.3,8.4,N,0
57.9373,-6.5631,304.2,1.5,1.2,2017-02-14,1221,Terra,MODIS,0,6.03,281.1,15.8,D,0
57.3882,-6.4225,300.6,1.6,1.3,2017-02-14,1233,Aqua,MODIS,40,6.03,282.1,13.5,D,0
57.2688,-6.4097,314.7,1.6,1.3,2017-02-14,1233,Aqua,MODIS,57,6.03,280.4,32.5,D,0
57.9326,-6.5693,304.5,1.6,1.2,2017-02-14,1233,Aqua,MODIS,0,6.03,281.5,18.4,D,0
57.4732,-3.8793,300.7,1.1,1,2017-02-15,1126,Terra,MODIS,40,6.03,278.5,8.3,D,0
53.627,-1.0052,304.5,1.4,1.2,2017-02-22,1321,Aqua,MODIS,59,6.03,273.3,15.9,D,0
53.6251,-1.0269,301,1.4,1.2,2017-02-22,1321,Aqua,MODIS,44,6.03,271.7,12.6,D,0
53.5675,-0.6168,308.2,1.2,1.1,2017-02-24,1308,Aqua,MODIS,58,6.03,280.7,13.2,D,2
56.6147,-2.6021,305.3,1,1,2017-03-01,1139,Terra,MODIS,61,6.03,280,10.3,D,0
53.5633,-0.6055,300.8,1.7,1.3,2017-03-02,1044,Terra,MODIS,39,6.03,279.2,14,D,2
53.5651,-0.6114,301.9,1.3,1.1,2017-03-02,1232,Aqua,MODIS,37,6.03,273.4,10.9,D,2
56.9597,-3.1154,303.3,1.3,1.1,2017-03-02,1233,Aqua,MODIS,56,6.03,275.4,14.3,D,0
56.9381,-2.8488,301.8,1,1,2017-03-03,1126,Terra,MODIS,49,6.03,279.2,7.7,D,0
56.7193,-3.1554,314,1,1,2017-03-03,1127,Terra,MODIS,74,6.03,280.1,16.6,D,0
54.3705,-0.7922,301,1,1,2017-03-07,1250,Aqua,MODIS,44,6.03,281.9,6.9,D,0
50.8686,-0.8606,300.7,1.3,1.1,2017-03-09,1237,Aqua,MODIS,40,6.03,287.2,7,D,0
