latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
53.57014,-0.59982,302.35,1.43,1.18,2023-02-01,0300,Aqua,MODIS,48,6.1NRT,275.76,15.57,N
53.56799,-0.60475,301.18,1.12,1.05,2023-02-03,2114,Terra,MODIS,38,6.1NRT,277.55,10.2,N
57.14471,-3.28265,301.99,1.13,1.06,2023-02-06,1248,Aqua,MODIS,50,6.1NRT,272.36,10.75,D
53.57099,-0.60935,301.46,1.09,1.04,2023-02-07,1108,Terra,MODIS,41,6.1NRT,277.31,9.51,D
53.56824,-0.59362,302.84,1.09,1.04,2023-02-07,1108,Terra,MODIS,51,6.1NRT,277.17,10.56,D
51.56192,-3.76594,309.44,1.01,1,2023-02-07,1110,Terra,MODIS,0,6.1NRT,281.57,11.01,D
51.56682,-3.76948,302.02,1.1,1.05,2023-02-09,1053,Terra,MODIS,38,6.1NRT,281.24,9.22,D
54.4558,-1.06074,317.67,1.14,1.07,2023-02-09,1316,Aqua,MODIS,0,6.1NRT,266.73,24.73,D
51.575,-3.77322,319.56,1.03,1.01,2023-02-10,0249,Aqua,MODIS,99,6.1NRT,271.79,23.55,N
53.36426,-1.68839,302.29,1,1,2023-02-11,1303,Aqua,MODIS,52,6.1NRT,278.26,7.69,D
53.41122,-1.67911,302.16,1.15,1.07,2023-02-13,1250,Aqua,MODIS,51,6.1NRT,281.11,9.55,D
57.14968,-3.30514,302.05,1.1,1.05,2023-02-13,1253,Aqua,MODIS,50,6.1NRT,278.15,9.56,D
52.7973,0.75824,325.43,1.1,1.05,2023-02-14,1102,Terra,MODIS,63,6.1NRT,282.24,29.83,D
57.00348,-2.96705,304.29,1.06,1.03,2023-02-14,1102,Terra,MODIS,59,6.1NRT,279.39,10.62,D
56.93748,-2.80526,302.62,1.05,1.02,2023-02-14,1102,Terra,MODIS,53,6.1NRT,276.13,9.08,D
56.93314,-2.7712,303.31,1.05,1.02,2023-02-14,1102,Terra,MODIS,56,6.1NRT,275.2,9.6,D
54.81904,-2.06114,315.59,1,1,2023-02-14,1102,Terra,MODIS,76,6.1NRT,281.4,17.07,D
51.15842,-3.22513,304.73,1.18,1.08,2023-02-14,1331,Aqua,MODIS,60,6.1NRT,283.71,10.65,D
52.13725,-3.87719,300.99,1.16,1.07,2023-02-14,1331,Aqua,MODIS,44,6.1NRT,281.83,6.81,D
52.13354,-3.91046,303.35,1.15,1.07,2023-02-14,1331,Aqua,MODIS,56,6.1NRT,283.27,8.71,D
57.38965,-3.63382,315.05,1.35,1.15,2023-02-15,1142,Terra,MODIS,63,6.1NRT,278.81,25.51,D
57.39254,-3.63735,308.81,1.35,1.15,2023-02-15,1142,Terra,MODIS,68,6.1NRT,279.03,18.17,D
56.92676,-2.85732,301.38,1.11,1.05,2023-02-17,1127,Terra,MODIS,47,6.1NRT,278.83,9.28,D
56.92365,-2.8399,308.76,1.11,1.05,2023-02-17,1127,Terra,MODIS,68,6.1NRT,278.76,14.52,D
53.56573,-0.59952,300.27,1.05,1.02,2023-02-20,1253,Aqua,MODIS,27,6.1NRT,284.13,4.92,D
